Feature,Importance
Customer Status_Churned,7.026329191945609
Customer Status_Stayed,4.387239759444804
Customer Status_Joined,2.8430409986431666
Number of Referrals,0.5829417260518429
Contract_Two Year,0.5006064759877658
Contract_Month-to-Month,0.404713955211765
Married_No,0.35478517408316296
City_San Diego,0.32202742254616556
Monthly Charge,0.23881516292798383
Phone Service_Yes,0.2249892803370505
Internet Service_No,0.21826958344546787
Number of Dependents,0.20827861649693535
Paperless Billing_No,0.2050790110665208
Streaming Music_No,0.18335695747854694
Premium Tech Support_Yes,0.17711925266626374
Online Security_Yes,0.17447826640884914
Multiple Lines_No,0.16518085551106523
Tenure in Months,0.1645168398584758
Married_Yes,0.15083360794082445
Streaming TV_No,0.15064385139219616
Online Backup_Yes,0.14400254020876496
Payment Method_Credit Card,0.1377484800040857
Internet Type_DSL,0.13380021698012712
Age,0.13199648293194927
AutoPay,0.11996488145010546
Gender_Male,0.11975525104484078
Unlimited Data_No,0.11680313614891048
Device Protection Plan_No,0.1137257086264325
Contract_One Year,0.10805904536632563
Streaming Movies_Yes,0.10228042093877
Streaming Movies_No,0.10167114520356339
Offer_Offer B,0.0911655028448341
Device Protection Plan_Yes,0.09022585751590045
Unlimited Data_Yes,0.08714842999342448
Payment Method_Bank Withdrawal,0.08569783849197217
Gender_Female,0.08419631509749569
City_Bakersfield,0.06729964691862983
Online Backup_No,0.05994902593356659
Offer_Offer A,0.05726692152182783
Offer_Offer C,0.05683319951739
City_Visalia,0.056660657552990094
Streaming TV_Yes,0.053307714750136515
City_Temecula,0.05258501328599398
Longitude,0.051200743353195834
City_Valley Springs,0.04900354580290375
City_San Jose,0.04660571727334595
Total Long Distance Charges,0.045351851457909716
City_Lomita,0.0428188527827084
Internet Type_Fiber Optic,0.042812684657418144
City_Hayward,0.04279125556226469
City_Fallbrook,0.041802208109686906
City_Olivehurst,0.04074898298123559
City_Irvine,0.0402910467398592
City_Santa Rosa,0.039212819827046795
Multiple Lines_Yes,0.03877071063126895
City_Cupertino,0.03802811000983895
City_Santa Maria,0.03728368875783635
Avg Monthly GB Download,0.03657030771397982
Latitude,0.03651557215472541
City_Anaheim,0.035677733250595346
City_Lemoore,0.034192939611173444
City_Emeryville,0.03310213726700969
City_North Hills,0.03301778119929805
City_San Bernardino,0.03257744744314463
City_Gardena,0.03066286736315222
City_Carson,0.030319054975834266
City_Glendale,0.030008621190064765
City_Saint Helena,0.029663508909079348
City_Santa Barbara,0.029658196160039292
Online Security_No,0.02947329973349195
City_Brea,0.028669428410764183
City_Smith River,0.028581487802290705
Internet Type_Cable,0.027338664504789254
City_Los Angeles,0.027034154909403734
City_Inglewood,0.026982277703613916
City_Pleasant Grove,0.026904444702525815
Premium Tech Support_No,0.026832313476077285
City_Crescent Mills,0.026813765642769
City_Forestville,0.026558717164388373
City_North Hollywood,0.026112206775309055
City_California Hot Springs,0.025694243229574757
City_Olympic Valley,0.025354416574270882
City_Duarte,0.02518964804395574
City_San Leandro,0.024952554509580418
City_Merced,0.02471887795107631
City_Rodeo,0.02442208209966595
City_Beverly Hills,0.02357743196997141
City_Paicines,0.023571818404252598
City_Riverside,0.023357524820703864
City_Escalon,0.023253783314817377
City_Middletown,0.022825595328513124
Avg Monthly Long Distance Charges,0.022636439176609145
City_Coachella,0.022620547896747934
City_Biggs,0.022336037037517693
City_Brentwood,0.02195276934243548
City_Desert Center,0.021908839263732015
City_Pomona,0.021644742097595596
City_Madera,0.021407653534169072
City_Van Nuys,0.02129194824864298
City_Jackson,0.021202877570250543
City_Arcadia,0.021086715395389324
City_Altadena,0.02106433750833088
Phone Service_No,0.02103771419471216
City_Ceres,0.020771411126315458
City_Lakewood,0.020616484523812602
Streaming Music_Yes,0.020594608663785936
City_Concord,0.02042609433701125
City_Phillipsville,0.020333031721609336
City_Oakland,0.019808735991756515
City_Upland,0.019807640373368407
City_Vallejo,0.019736187341114278
City_Redondo Beach,0.0195272536245421
Payment Method_Mailed Check,0.01949475235371434
City_Lebec,0.01912781216488942
City_Covina,0.0191134107534512
City_Winterhaven,0.01909194950581824
City_Travis Afb,0.0190891770066897
City_Piru,0.01906738766896229
City_Perris,0.018704499060809315
City_Hemet,0.01864614743837241
City_La Verne,0.018466242006207324
City_Hinkley,0.018245585653082798
City_Modesto,0.018098177092257316
City_Rowland Heights,0.017890765736158516
City_Placerville,0.0175293331064713
City_El Dorado Hills,0.017455210350551083
City_San Marcos,0.01725755156374888
City_Wilseyville,0.017183555417534784
City_Alturas,0.017040220368074694
City_San Dimas,0.017035464709581546
City_Desert Hot Springs,0.017022279789872596
City_Bellflower,0.016990686508547882
Total Extra Data Charges,0.01696705017375341
City_Stanton,0.01679719935999087
City_Bradley,0.016777923763666557
City_Huntington Park,0.01668828070534067
City_La Puente,0.01667765526484453
City_Weott,0.016625403066751667
City_La Palma,0.01658376203301532
City_Wasco,0.016544206276744175
City_Seeley,0.01649427326612885
City_Redway,0.016426305819662736
City_Seaside,0.016421310661176892
City_Summerland,0.016356005969640718
City_Alhambra,0.016322235768572748
City_Fullerton,0.016279785529257837
City_Gonzales,0.016188792437344366
City_Glennville,0.01613261153493673
City_Lakeport,0.01591332415175375
City_Groveland,0.01576485539344883
City_Sacramento,0.015697306028842683
City_Chula Vista,0.015564964232085745
City_Compton,0.015496405478158792
City_Buena Park,0.015478192218951874
City_Corona,0.015320339627970468
City_Twain,0.015277371198340786
City_Waterford,0.015256290606281846
City_Los Banos,0.015224806965355484
City_La Mesa,0.015186506628860454
City_Redwood City,0.015183803726861893
