Model,F1,F1_std
GBT,0.7050355244579561,0.018039985704407298
SVC_rbf,0.6952424909558587,0.01532128191689605
LogReg,0.6924908617875134,0.009464551363956294
LinearSVC,0.6893605156190677,0.01046500917199552
RF,0.6693219380014659,0.02276712688936763
ExtraTrees,0.662653205784414,0.01861559046672991
KNN,0.6340332465684082,0.020586766476375716
DecisionTree,0.577338506615689,0.016415822841748532
